qzone.qq.com	qq空间
www.renren.com	人人网
bbs.txtnovel.com	小说
book.chaoxing.com	小说
book.gougou.com	小说
book.ifeng.com	小说
book.qq.com	小说
book.sina.com.cn	小说
book.sohu.com	小说
book.sooyuu.com	小说
book.zongheng.com	小说
hjsm.tom.com	小说
home.zongheng.com	小说
material.mediav.com	小说
me.qidian.com	小说
my.hongxiu.com	小说
novel.hongxiu.com	小说
so.fmx.cn	小说
top.baidu.com	小说
view.booksky.org	小说
vip.fmx.cn	小说
vip.zhulang.com	小说
www.17k.com	小说
www.3gsc.com.cn	小说
www.4yt.net	小说
www.52eshu.com	小说
www.abada.cn	小说
www.banbijiang.com	小说
www.byread.com	小说
www.cc222.com	小说
www.chaoxing.com	小说
www.cuiweiju.com	小说
www.fbook.net	小说
www.feiku.com	小说
www.fmx.cn	小说
www.hongshu.com	小说
www.hongxiu.com	小说
www.huanxia.com	小说
www.ibook8.com	小说
www.imanhua.com	小说
www.itxtbook.com	小说
www.jjwxc.net	小说
www.junshishu.com	小说
www.kanshu.com	小说
www.lcread.com	小说
www.miibeian.gov.cn	小说
www.paipaitxt.com	小说
www.qdmm.com	小说
www.qidian.com	小说
www.qisuu.com	小说
www.qwsy.com	小说
www.readnovel.com	小说
www.rongshuxia.com	小说
www.sodu.org	小说
www.sxcnw.net	小说
www.txdzs.com	小说
www.txt99.com	小说
www.txtbbs.com	小说
www.txtxz.com	小说
www.xs8.cn	小说
www.xxs8.com	小说
www.xxsy.net	小说
www.yuncheng.com	小说
www.zhaoxiaoshuo.com	小说
www.zhulang.com	小说
www.zongheng.com	小说
bookcu.com	小说
baidu.lehecai.com	彩票
caipiao.163.com	彩票
caipiao.taobao.com	彩票
fc.zjol.com.cn	彩票
hbfc.cnhubei.com	彩票
jltc.starlott.com	彩票
jxfc.jx163.com	彩票
lottery.sina.com.cn	彩票
lottery.sports.cn	彩票
sports.sohu.com	彩票
trend.lehecai.com	彩票
www.310win.com	彩票
www.500wan.com	彩票
www.9188.com	彩票
www.ahtc.gov.cn	彩票
www.bjlot.com	彩票
www.bwlc.net	彩票
www.cp2y.com	彩票
www.cpdyj.com	彩票
www.cqcp.net	彩票
www.cqlottery.gov.cn	彩票
www.fjcp.cn	彩票
www.fjtc.com.cn	彩票
www.gdfc.org.cn	彩票
www.gdlottery.cn	彩票
www.gstc.gov.cn	彩票
www.gxcaipiao.com.cn	彩票
www.gztcw.com.cn	彩票
www.hbtcw.com	彩票
www.hbtycp.com	彩票
www.henanfucai.com	彩票
www.hljtcp.com	彩票
www.hnflcp.com	彩票
www.hnfucai.net	彩票
www.hnlottery.com.cn	彩票
www.hnticai.com	彩票
www.jilintz.com	彩票
www.js-lottery.com	彩票
www.jslottery.com	彩票
www.jxlottery.com	彩票
www.lnlotto.com	彩票
www.lntycp.com	彩票
www.lottery.gov.cn	彩票
www.lottost.cn	彩票
www.nmlottery.com.cn	彩票
www.nmtc.com.cn	彩票
www.nxflcp.com	彩票
www.nxtcw.com.cn	彩票
www.okooo.com	彩票
www.qhfc.gov.cn	彩票
www.scflcp.com	彩票
www.sclottery.gov.cn	彩票
www.sdcp.cn	彩票
www.sdticai.com	彩票
www.shlottery.gov.cn	彩票
www.sporttery.cn	彩票
www.swlc.gov.cn	彩票
www.sxfc.gov.cn	彩票
www.sxlottery.net	彩票
www.sxtc.com.cn	彩票
www.tc.hainan.net	彩票
www.tjflcpw.com	彩票
www.tjlottery.gov.cn	彩票
www.xjflcp.com	彩票
www.xjlottery.gov.cn	彩票
www.ynticai.cn	彩票
www.yzfcw.com	彩票
www.zgzcw.com	彩票
www.zhcw.com	彩票
www.zjlottery.com	彩票
caipiao.360.cn	彩票
caipiao.hao123.com	彩票
anime.xunlei.com	影视
bugu.cntv.cn	影视
cartoon.pptv.com	影视
cartoon.tudou.com	影视
comic.ku6.com	影视
comic.letv.com	影视
comic.youku.com	影视
donghua.cntv.cn	影视
edu.360.cn	影视
ent.163.com	影视
ent.ifeng.com	影视
ent.qq.com	影视
ent.sina.com.cn	影视
gaoqing.baofeng.com	影视
live.tv.sohu.com	影视
movie.douban.com	影视
movie.letv.com	影视
movie.pptv.com	影视
movie.tudou.com	影视
movie.v.huanqiu.com	影视
movie.xunlei.com	影视
movie.youku.com	影视
tv.56.com	影视
tvguide.ent.sina.com.cn	影视
tv.ku6.com	影视
tv.letv.com	影视
tv.pptv.com	影视
tv.sohu.com	影视
tv.tudou.com	影视
tv.xunlei.com	影视
tv.youku.com	影视
v.163.com	影视
v.360.cn	影视
v.61.com	影视
v.huanqiu.com	影视
video.baidu.com	影视
video.caixin.com	影视
video.sina.com.cn	影视
v.ifeng.com	影视
v.iqilu.com	影视
v.joy.cn	影视
v.pps.tv	影视
v.qq.com	影视
www.56.com	影视
www.6.cn	影视
www.ahtv.cn	影视
www.aniworld.tv	影视
www.btv.com.cn	影视
www.cetv.com	影视
www.chinafilm.com	影视
www.dragontv.cn	影视
www.funshion.com	影视
www.gdtv.com.cn	影视
www.gougou.com	影视
www.hunantv.com	影视
www.imgo.tv	影视
www.iqiyi.com	影视
www.joy.cn	影视
www.jstv.com	影视
www.juchang.com	影视
www.kankanews.com	影视
www.ku6.com	影视
www.kumi.cn	影视
www.letv.com	影视
www.m1905.com	影视
www.mtime.com	影视
www.pipi.cn	影视
www.pps.tv	影视
www.pptv.com	影视
www.tudou.com	影视
www.tvmao.com	影视
www.umiwi.com	影视
www.uusee.com	影视
www.v1.cn	影视
www.xunlei.com	影视
www.youku.com	影视
www.zjstv.com	影视
xiyou.cntv.cn	影视
you.joy.cn	影视
yule.sohu.com	影视
zongyi.pptv.com	影视
zy.tudou.com	影视
zy.xunlei.com	影视
zy.youku.com	影视
weibo.com	新浪微博
bbs.people.com.cn	新闻
bbs.phoenixtv.com	新闻
chinese.joins.com	新闻
chinese.ruvr.ru	新闻
chn.chosun.com	新闻
cn.reuters.com	新闻
cpc.people.com.cn	新闻
ctdsw.cnhubei.com	新闻
forum.home.news.cn	新闻
hsb.hsw.cn	新闻
news.163.com	新闻
news.21cn.com	新闻
news.baidu.com	新闻
news.cn.yahoo.com	新闻
news.ifeng.com	新闻
news.qq.com	新闻
news.sina.com.cn	新闻
news.sohu.com	新闻
news.tom.com	新闻
online.wsj.com	新闻
taiwan.huanqiu.com	新闻
www.banyuetan.org	新闻
www.bbc.co.uk	新闻
www.bjnews.com.cn	新闻
www.ce.cn	新闻
www.china.com	新闻
www.china.com.cn	新闻
www.chinanews.com.cn	新闻
www.cnn.com	新闻
www.cntv.cn	新闻
www.cri.cn	新闻
www.cyol.net	新闻
www.dahe.cn	新闻
www.dayoo.com	新闻
www.eastday.com	新闻
www.fjsen.com	新闻
www.gov.cn	新闻
www.huanqiu.com	新闻
www.ifeng.com	新闻
www.infzm.com	新闻
www.nddaily.com	新闻
www.newgx.com.cn	新闻
www.newsday.com	新闻
www.newsweek.com	新闻
www.nihaotw.com	新闻
www.nydailynews.com	新闻
www.nytimes.com	新闻
www.online.sh.cn	新闻
www.people.com.cn	新闻
www.pladaily.com.cn	新闻
www.southcn.com	新闻
www.stnn.cc	新闻
www.sz.net.cn	新闻
www.sznews.com	新闻
www.taihainet.com	新闻
www.takungpao.com	新闻
www.tianya.cn	新闻
www.time.com	新闻
www.timesonline.co.uk	新闻
www.un.org	新闻
www.wenweipo.com	新闻
www.xinhuanet.com	新闻
www.xj71.com	新闻
www.yangtse.com	新闻
www.ycwb.com	新闻
www.zaobao.com	新闻
www.zjol.com.cn	新闻
business.sohu.com	股票
cn.wsj.com	股票
finance.china.com.cn	股票
finance.cn.yahoo.com	股票
finance.huanqiu.com	股票
finance.ifeng.com	股票
finance.people.com.cn	股票
finance.qq.com	股票
finance.sina.com.cn	股票
fund.eastmoney.com	股票
guba.eastmoney.com	股票
jingji.cntv.cn	股票
kuan005.blog.cnstock.com	股票
money.163.com	股票
rd.qihoo.com	股票
stock.100ppi.com	股票
stock.pingan.com	股票
t.hexun.com	股票
wangguoqiang.blog.cnstock.com	股票
www.10jqka.com.cn	股票
www.55188.com	股票
www.7878.com	股票
www.aastocks.com	股票
www.asiafinance.cn	股票
www.caijing.com.cn	股票
www.caixin.com	股票
www.cb.com.cn	股票
www.ccnew.com	股票
www.cf8.com.cn	股票
www.cfi.cn	股票
www.chinastock.com.cn	股票
www.cjis.cn	股票
www.cjsc.com.cn	股票
www.cnfol.com	股票
www.cnstock.com	股票
www.csc108.com	股票
www.cs.com.cn	股票
www.csrc.gov.cn	股票
www.dajiabao.com	股票
www.eastmoney.com	股票
www.ebscn.com	股票
www.emoney.cn	股票
www.forbeschina.com	股票
www.ganniu.com	股票
www.gf.com.cn	股票
www.ghzq.com.cn	股票
www.gjzq.com.cn	股票
www.gtja.com	股票
www.gucheng.com	股票
www.guosen.com.cn	股票
www.gw.com.cn	股票
www.hexun.com	股票
www.htsc.com.cn	股票
www.htsec.com	股票
www.i618.com.cn	股票
www.ibtimes.com.cn	股票
www.ihongpan.com	股票
www.imeigu.com	股票
www.jrj.com.cn	股票
www.lifengba.com	股票
www.miibeian.gov.cn	股票
www.nasdaq.com	股票
www.nbd.com.cn	股票
www.newone.com.cn	股票
www.nyse.com	股票
www.p5w.net	股票
www.qlzq.com.cn	股票
www.sharesinv.com	股票
www.sse.com.cn	股票
www.stcn.com	股票
www.stockstar.com	股票
www.sw2000.com.cn	股票
www.szse.cn	股票
www.xinhua08.com	股票
www.xyzq.com.cn	股票
www.yicai.com	股票
www.zhicheng.com	股票
an.moonbasa.com	购物
chujian.360.cn	购物
click.mediav.com	购物
click.union.360buy.com	购物
dangdang.com	购物
cps.yintai.com	购物
huodong.360.cn	购物
i.360.cn	购物
lux.360.cn	购物
mall.360.cn	购物
mall.jumei.com	购物
old.mall.360.cn	购物
r.eclink.cn	购物
s.click.taobao.com	购物
s.mall.360.cn	购物
temai.dazhe.cn	购物
tuan.360.cn	购物
union.suning.com	购物
www.51youpin.com	购物
www.amazon.cn	购物
www.camel.com.cn	购物
www.chinadrtv.com	购物
www.coo8.com	购物
www.dazhe.cn	购物
www.dongdongq.com	购物
www.fclub.cn	购物
www.gome.com.cn	购物
www.ihaveu.com	购物
www.justonline.cn	购物
www.masamaso.com	购物
www.no5.com.cn	购物
www.okbuy.com	购物
www.pb89.com	购物
www.s.cn	购物
www.shishang71.com	购物
www.shishangqiyi.com	购物
www.shopin.net	购物
www.vancl.com	购物
www.vipshop.com	购物
www.xiu.com	购物
www.yihaodian.com	购物
youhui.360.cn	购物
www.paipai.com	购物
1.9787.com	页游
36ji.uuzu.com	页游
aojian.game2.cn	页游
astd.wan.360.cn	页游
as.yaowan.com	页游
cqgd.wan.360.cn	页游
ddt.wan.360.cn	页游
dgwm.wan.360.cn	页游
dh.wan.360.cn	页游
dmbj.wan.360.cn	页游
dtzl.wan.360.cn	页游
feedback.hao.360.cn	页游
fnyf.wan.360.cn	页游
frg.wan.360.cn	页游
frmmo.wan.360.cn	页游
frxz.wan.360.cn	页游
ftx.wan.360.cn	页游
game.51.com	页游
hhsh.wan.360.cn	页游
hysd.wan.360.cn	页游
hysj.37wan.com	页游
hysj.wan.360.cn	页游
jhl.wan.360.cn	页游
jtxm.wan.360.cn	页游
long.175pt.com	页游
lqjl.wan.360.cn	页游
mccq.wan.360.cn	页游
me.360.cn	页游
mg.wan.360.cn	页游
mhsg.wan.360.cn	页游
mhxx.wan.360.cn	页游
my.51wan.com	页游
nb.51wan.com	页游
poker.wan.360.cn	页游
qjp.wan.360.cn	页游
rxqq.wan.360.cn	页游
rxxy.wan.360.cn	页游
s10.frmmo.g.1360.com	页游
s353.as.yaowan.com	页游
sg.37wan.com	页游
shcsl.wan.360.cn	页游
smzt.duowan.com	页游
smzt.wan.360.cn	页游
snyj.wan.360.cn	页游
sssg.wan.360.cn	页游
ssxdj.wan.360.cn	页游
stdy.wan.360.cn	页游
sxd.1360.com	页游
sxd.37wan.com	页游
sxd.65wan.com	页游
sxd.wan.360.cn	页游
sxd.xd.com	页游
tdyx.wan.360.cn	页游
udblogin.duowan.com	页游
wan.91.com	页游
web.4399.com	页游
web.7k7k.com	页游
web.ufojoy.com	页游
wly.wan.360.cn	页游
w.qhimg.com	页游
wszm.wan.360.cn	页游
www.05wan.com	页游
www.29ww.com	页游
www.37wanwan.com	页游
www.56uu.com	页游
www.5ding.com	页游
www.6711.com	页游
www.7wan.com	页游
www.9787.com	页游
www.9c.com	页游
www.game2.cn	页游
www.huoying.com	页游
www.xd.com	页游
www.xdwan.com	页游
www.yxduo.com	页游
xjhx.wan.360.cn	页游
xp.4399.com	页游
xxrz.wan.360.cn	页游
xyj.wan.360.cn	页游
ygfs.wan.360.cn	页游
yqcm.wan.360.cn	页游
yxyz.wan.360.cn	页游
yy.360.cn	页游
zqjl.wan.360.cn	页游
zwjs.wan.360.cn	页游
